.1.3.6.1.4.1.35047.1.3    Cpu使用率
.1.3.6.1.4.1.35047.1.4    Free memory. 剩余内存
.1.3.6.1.4.1.35047.1.9    sfSysTotalMemory
.1.3.6.1.4.1.35047.1.5.1.4   sfDiskUsed 已使用空间
.1.3.6.1.4.1.35047.1.5.1.5   sfDiskAvail 可使用空间
.1.3.6.1.4.1.35047.1.5.1.6   sfDiskUsedPercent 磁盘占用率

.1.3.6.1.4.1.35047.2.1.1.1    实时在线用户数
.1.3.6.1.4.1.35047.2.1.1.2    最大在线用户数
.1.3.6.1.4.1.35047.2.1.1.3    当前用户组数量
.1.3.6.1.4.1.35047.2.1.1.4    最大用户组数量
.1.3.6.1.4.1.35047.2.1.1.5    最大会话数
.1.3.6.1.4.1.35047.2.1.1.6    实时会话数

.1.3.6.1.4.1.35047.2.1.2.1.2   interface name 接口名称
.1.3.6.1.4.1.35047.2.1.2.1.3   link area 接口区域
.1.3.6.1.4.1.35047.2.1.2.1.4   link status 接口状态
.1.3.6.1.4.1.35047.2.1.2.1.5   Number of send packets per second 每秒发送数据包数量
.1.3.6.1.4.1.35047.2.1.2.1.6   Number of receive packets per second 每秒接收数据包数量
.1.3.6.1.4.1.35047.2.1.2.1.7   Number of send Bytes per second 每秒发送字节
.1.3.6.1.4.1.35047.2.1.2.1.8   Number of receive Bytes per second 每秒接收字节


.1.3.6.1.4.1.35047.2.1.5.1.2    block/record  拦截数/记录数
.1.3.6.1.4.1.35047.2.1.5.1.3    http get 网页访问
.1.3.6.1.4.1.35047.2.1.5.1.4    send mail or receive mail 邮件收发
.1.3.6.1.4.1.35047.2.1.5.1.5    send file or receive file 外发文件
.1.3.6.1.4.1.35047.2.1.5.1.6    web BBS 论坛发帖
.1.3.6.1.4.1.35047.2.1.5.1.7    IM chat 聊天内容
